id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,market_participation,collapse_context
2,"зрелость, период политических и социальных потрясений",отношение к внешней политике и войне,"Респондентка переживает из-за войны, испытывает страх за будущее и за близких, находящихся в зоне конфликта. Она не поддерживает войну, но признаёт, что, возможно, она была необходима. Сравнивает нынешнее время с более спокойным прошлым.","Мне очень не хотелось, чтобы Россия воевала. Знаете, как это раньше было спокойно, вот до этого времени, до февраля месяца 21-го года. Какая-то была стабильность, уверен, что нет. Сейчас я, честно сказать, я боюсь вот этих военных действий...","боль, тревога, страх, тоска по стабильности","мир, безопасность, стабильность, забота о близких","Респондентка выражает характерную для части населения двойственность: с одной стороны, патриотизм и попытка рационализировать необходимость войны, с другой — глубокое личное неприятие и страх за будущее. Важна ностальгия по стабильности и мирной жизни.",декларация,"государство, армия",False,False,
3,"зрелость, период ограничений и перемен",ограничения в передвижении и изменение образа жизни,"Из-за войны и общей нестабильности респондентка перестала ездить в Крым, хотя раньше это было важной частью её жизни. Она тоскует по прежней свободе передвижения и открытым городским праздникам.","Сейчас мы не ездим, вот уже 21-го с года мы не были в Крыму. Я боюсь туда ехать...","тоска, страх, сожаление","свобода, безопасность, семейные традиции","Изменения в геополитической ситуации напрямую влияют на повседневную жизнь респондентки, ограничивая привычные маршруты и вызывая чувство утраты и тревоги.",эпизод,"государство, транспорт",False,False,
4,"зрелость, цифровизация повседневности",использование социальных сетей и мессенджеров,"Респондентка активно использует WhatsApp и Telegram для работы и общения, но предпочитает личные встречи и живое общение. Развлекательный контент её раздражает, она ценит информативность и функциональность.","Я общаюсь, да, я общаюсь через WhatsApp, я общаюсь через Telegram... Но меня вот просто сидеть там рассматривать одно и то же, потому что терять на это время я не хочу.","прагматизм, раздражение, умеренное принятие","эффективность, личное общение, информированность","Респондентка относится к цифровым технологиям как к инструменту, а не как к среде для развлечений. Это типично для зрелых пользователей, для которых важна функциональность и поддержание реальных связей.",декларация,"цифровые платформы, работа",False,True,
5,"зрелость, поддержание семейных связей",семейное общение и дистанция в цифровую эпоху,"Респондентка поддерживает тесные связи с родственниками, предпочитая личные встречи и телефонные звонки массовым рассылкам и переписке. Она считает, что ничто не заменит живого общения и эмоций.","Никто ничто и никогда не заменит общение, личное общение. Это важно. Это важно. Важно испытывать эмоции.","тепло, раздражение (по отношению к массовым сообщениям), ностальгия","семья, эмоциональная близость, искренность","Респондентка демонстрирует традиционалистский подход к коммуникации, где личный контакт и эмоции важнее цифрового общения. Это отражает ценности старших поколений и их стремление к сохранению семейных традиций.",декларация,семья,False,False,
6,"зрелость, технологические новшества",отношение к искусственному интеллекту,"Респондентка проявляет интерес к новым технологиям, в частности к искусственному интеллекту, но опасается потери человеческой свободы и индивидуальности. Она считает, что выбор должен оставаться за человеком.","Если он будет умным в пользу для человека, то пусть да. Но не управляет человеком. Чтобы, как сказать, не заставляет, не подавляет воли человека.","осторожный интерес, тревога","свобода воли, самостоятельность, технологический прогресс с человеческим лицом","Респондентка отражает амбивалентное отношение к ИИ: с одной стороны, интерес к возможностям, с другой — опасения по поводу контроля и утраты субъектности. Это характерно для зрелых пользователей, сталкивающихся с быстрыми технологическими изменениями.",декларация,технологические компании,False,True,
7,"зрелость, семейные радости и испытания",главные события последнего года: семья и здоровье,"Самым ярким событием года для респондентки стало общение с внучкой и празднование её дня рождения. Также важным событием стала тяжелая болезнь и успешная операция матери, что принесло облегчение и гордость за медицину.","Самый позитивный момент – это моя внучка. Я уже повторюсь, для меня это все... Я была увлечена нашим хирургом и горда за них.","радость, гордость, облегчение, тревога","семья, здоровье, благодарность, забота о близких","Семейные события и забота о здоровье близких занимают центральное место в жизни респондентки, что типично для зрелого возраста. Позитивные эмоции связаны с семьёй, негативные — с болезнями и страхом утраты.",эпизод,"семья, здравоохранение",False,False,
8,"зрелость, стабильность и планирование",жизненные планы и материальное положение,"Респондентка довольна своим материальным положением, не строит грандиозных планов, ценит то, что имеет. Основные планы связаны с отдыхом, путешествиями и поддержанием семейных традиций.","Я радуюсь, что я нахожусь с двумя любимыми людьми. Это мама и Кира. Я работаю, я нахожусь в семье. Я считаю, что для меня это смесь будущего, что я не одна.","удовлетворение, спокойствие, благодарность","семья, стабильность, умеренность, благодарность","Респондентка демонстрирует ценности зрелого возраста: удовлетворённость достигнутым, отсутствие материальных амбиций, акцент на поддержании семейных связей и планировании досуга.",декларация,"семья, рынок недвижимости, рынок труда",True,True,
9,"зрелость, поддержание традиций и досуга","путешествия, отдых и семейные традиции","Респондентка активно планирует семейные поездки, отдых, посещение санаториев и природных мест. Она ценит совместные путешествия с семьёй и поддерживает традицию посещения святых источников.","Надо ездить в Сочи, навести дядьку, конечно. Потому что ему 87 лет, тоже хотелось бы увидеть его... Искупаться в источнике, Максим, обязательно надо. И не в одном за лето. Чтобы силу подчеркнуть.","ожидание, радость, воодушевление","семейные традиции, здоровье, путешествия, забота о близких",Путешествия и совместный досуг выступают важным элементом семейной идентичности и поддержания межпоколенческих связей. Посещение святых источников отражает элементы традиционной культуры.,эпизод,"семья, туризм, санаторно-курортная система",False,True,
1,"Зрелость, 60+",Жизненные принципы и ценности,"Респондентка размышляет о своих жизненных принципах: работать, приносить пользу, заботиться о близких. Она не участвует в городском волонтерстве, но помогает знакомым и ухаживает за инвалидом безвозмездно. Основное внимание уделяет семье.","Максим, работать, выносить пользу какую-то. Ой, я не знаю, чем я могу принести пользу. Для волонтерства я не занимаюсь в городе, честно сказать. ... У меня еще есть допечность, за которой я ухаживаю. ... Не могу бросить этого человека. ... Наверное, я больше занимаюсь своей семьей.","спокойствие, легкая неуверенность, забота","помощь другим, семейственность, ответственность, скромность","Респондентка демонстрирует традиционные ценности зрелого поколения: приоритет семьи, неформальная забота о ближних, скромность в оценке собственной пользы для общества. Волонтерство воспринимается как нечто внешнее, а помощь ближним — как естественная часть жизни.",декларация,"семья, неформальные социальные связи",,False,
2,"Зрелость, 60+",Смысл жизни и удовлетворение,"Смыслом жизни респондентка считает не только пользу для других, но и внутреннее удовлетворение, гармонию с собой.","Приносить пользу и не чувствовать себя счастливым человеком не только от пользы, но и в себе, чтобы было удовлетворение для себя тоже жить.","размышление, спокойствие","гармония, самоуважение, польза",Важный акцент на балансе между альтруизмом и личным счастьем. Для зрелого возраста характерно стремление к внутренней гармонии.,декларация,,,,
3,"Зрелость, 60+",Оценка жизненного пути: удачи и сожаления,"Респондентка считает своей удачей крепкую семью, хорошие отношения с родственниками и друзьями, относительное здоровье. Сожалеет о скорой утрате матери и необходимости передавать семейные традиции следующему поколению.","Удачно, что у меня есть, знаете, любимая крепкая семья. ... Удачно, что у меня есть друзья, подруги, с которыми мне повезло. ... Неудача? Неудача в том, что скоро не будет мамы, наверное, потому что с этим надо готовиться и пережить.","благодарность, грусть, гордость","семья, родственные связи, традиции, преемственность","Семья и род — ключевые источники идентичности и поддержки. Смерть родителей воспринимается как утрата 'крыла', но также как момент передачи ответственности и традиций.",эпизод/узел,"семья, родственные связи",,,
4,"Зрелость, 60+",Отношение к смерти и религиозность,"Респондентка не боится смерти, опирается на религиозные представления о душе и загробной жизни. Для нее важны исповедь и соборование перед уходом.","Смерть для меня... я не боюсь смерти. ... я хожу в храм, и на исповеди ... рассказывается про смерть, что переход тела, оно пленно, переход человека в лесу, оно вечно... Поэтому я думаю, что я верю, что после смерти...","спокойствие, принятие","религиозность, духовность, принятие",Религиозные практики и вера в загробную жизнь помогают справляться со страхом смерти и придают смысл уходу близких.,декларация,"церковь, религиозная община",,,
5,"Зрелость, 60+",Желания и мечты: материальные и нематериальные изменения,"Респондентка хотела бы поменять квартиру, чтобы жить ближе к дочери и внучке, а также мечтает выучить английский язык. Переезд в другой город не рассматривает, так как сильно привязана к Нижнему Новгороду.","Макси очень хочет продать свою квартиру, поменять ее. ... Я никак не учу английский язык. ... Переехать в другой город я точно не хочу. Я очень привязанно люблю Нижний Новгород.","легкая неудовлетворенность, привязанность, юмор","семья, дом, образование, стабильность",Жилищный вопрос и территориальная близость к семье — важная тема для пожилых людей. Привязанность к родному городу типична для старшего поколения.,декларация,"рынок недвижимости, семья",True,True,
6,"Зрелость, 60+",Фантазии и невозможные изменения,"Респондентка осознает границы своих возможностей: не может повлиять на войну или политику, но мечтает о мире и безопасности для молодых.","А, допустим, закончить войну, это я не могу изменить. Это не в моих силах. ... Чтобы закончилось все это дело. Чтобы наши ребята не гибли. Я всегда молюсь за них и не страшно за них.","беспомощность, сочувствие, забота","мир, безопасность, эмпатия",Чувство ограниченности личного влияния на большие социальные процессы типично для рядовых граждан. Молитва и сочувствие — доступные формы участия.,декларация,,,,
7,"Зрелость, 60+",Рефлексия над жизнью и самоощущение,"Респондентка впервые подробно рассказывает о своей жизни незнакомому человеку, сравнивает свою биографию с фильмом, размышляет о том, положительный ли она герой.","На самом деле я про свою жену рассказываю вообще первый раз. И так подробно, как фильм. ... Ну, фильм за медленные действия пересмотрела. Ну, кто это положительный актер или отрицательный, еще не решили.","удивление, легкая неуверенность, открытость","рефлексия, честность, открытость",Интервью становится для респондентки поводом к рефлексии и переосмыслению собственной жизни. Сравнение с фильмом — метафора дистанцированного взгляда на себя.,эпизод/узел,,,,
8,"Зрелость, 60+",Эмоциональное состояние после интервью,"Респондентка выходит из беседы с позитивным чувством, отмечает, что прошлое не вызывает у нее горечи, а будущее открыто для изменений.","То, что я какие-то моменты свои вспоминала, которые меня огорчали по жизни, они прошли. ... Было, да, было. Было, ну, сейчас уже ничто не покажет.","позитив, спокойствие, принятие","оптимизм, принятие прошлого",Позитивное завершение интервью свидетельствует о зрелой жизненной позиции и способности к принятию собственного опыта.,эпизод,,,,
009,"Зрелость, 60+",Привязанность к домашним животным,"В конце интервью респондентка с теплотой говорит о своих кошках, называет их 'душой', проявляет эмоциональную привязанность.","Я их люблю. Я уважаю пушки. Ой, ты мой золотой. Пушки вообще чудо. ... Кошатина это что-то. Я дам, моя душа.","радость, умиление, нежность","любовь к животным, эмоциональная теплота",Домашние животные выступают важным источником эмоциональной поддержки и радости в зрелом возрасте.,эпизод,домашние животные,,,
