id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,collapse_context,housing_promised,market_participation
6,Взрослая жизнь,Советы и принятие решений,"Респондент советуется с близкими и экспертами при принятии важных решений, особенно если это их компетенция.","Происходит совещание с знакомыми, с матушкой, с бабушкой, с дедушкой. Вот, конечно, происходит.","Доверие, уважение","Семейственность, коллективизм, уважение к опыту","Коллективное принятие решений и опора на мнение старших — черта, характерная для семейно-ориентированных культур.",декларация,,1.0,,
7,"Взрослая жизнь, периферия","Питание, готовка и доставка еды","Респондент живёт в посёлке, редко пользуется доставкой еды, предпочитает готовить сам простую пищу. Получает удовольствие от самостоятельной готовки.","Мне больше удовольствие заставляет самому готовить, чем кому-то отдавать. Ну, кроме соседской бабушки, конечно.","Удовлетворение, спокойствие","Самостоятельность, простота, умеренность","Жизнь вне города ограничивает доступ к сервисам доставки, формируя самостоятельные бытовые практики.",эпизод,Сельское поселение,1.0,,
8,Взрослая жизнь,Отношение к образованию,"Респондент учился на бюджете, проходил платные курсы для повышения квалификации. Считает, что платное образование — выход для тех, кто не смог поступить на бюджет.","Бюджет это для ребят, которые действительно учатся, у которых мозги на месте. Классно это все-таки для ребят, у которых не хватило ума в школе правильно учиться.","Рациональность, лёгкая ирония","Образование, саморазвитие, прагматизм",Отношение к платному и бесплатному образованию отражает социальные стереотипы и опыт респондента.,декларация,"Колледж, курсы повышения квалификации",1.0,,
9,Взрослая жизнь,Финансовая самостоятельность и принятие решений,"Респондент самостоятельно принял решение о создании финансовой подушки безопасности, исходя из прошлого опыта нехватки денег.","Поэтому было принято решение, лично мной, ни с кем не согласовывавшись, подготовить для себя некую безопасность.","Уверенность, самостоятельность","Независимость, ответственность",Самостоятельное принятие решений о финансовой безопасности — индикатор зрелости и личной ответственности.,перелом,,1.0,,
10,Взрослая жизнь,Деньги и их значение,"Для респондента деньги — это способ обеспечить свободу, безопасность, помочь другим и получать эмоции. Особое значение придаёт возможности оплатить качественную медицину.","Для меня деньги — это получение эмоций, получение воспоминаний, ярких эпизодов в жизни.","Размышление, философичность","Свобода, безопасность, помощь близким, эмоции","Деньги рассматриваются не как цель, а как инструмент для достижения жизненных целей и поддержки близких.",декларация,,1.0,,
11,Взрослая жизнь,Достаточность дохода,"Респондент считает свой доход достаточным для текущих нужд, не стремится к увеличению дохода, но отмечает, что ситуация может измениться с появлением семьи.","У меня достаточно подушек безопасности и то, сколько я зарабатываю. Другой вопрос в том, что твой имя может поменяться при наличии жены и детей.","Удовлетворение, реализм","Умеренность, реализм, ответственность","Ориентация на достаточность, а не на постоянное увеличение дохода, характерна для людей, ценящих стабильность.",декларация,,1.0,,
12,Взрослая жизнь,Взаимодействие с государственными структурами,"Опыт взаимодействия с полицией, пожарными и больницами в целом положительный. Отмечает разницу между частной и государственной медициной.","Полиция у меня хорошая, с пожарными структурами был, то есть горело дома соседей, вызывали пожарных, приехали оперативно, вопросов нет.","Удовлетворение, спокойствие","Доверие к институтам, прагматизм","Положительный опыт взаимодействия с госструктурами формирует доверие к институтам, хотя отмечается и разница в качестве услуг.",эпизод,"Полиция, пожарные, больницы",1.0,,
13,Взрослая жизнь,Семейные отношения и помощь родственникам,"Респондент помог тёте с квартирой, отказавшись от своей доли, чтобы поддержать её в сложной ситуации. Сохраняет хорошие отношения с родственниками.","Я принял решение, что это будет моя им минимальная оказанная помощь, которую я могу оказать. И, как я ранее повторял, за меня тогда эти деньги не имеют никакой ценности, они не мои.","Альтруизм, удовлетворение","Семья, помощь, бескорыстие",Готовность жертвовать материальными благами ради семьи — показатель высокой ценности семейных связей.,эпизод,"Наследование, нотариус",1.0,,
14,Армейский период,Опыт службы в армии (дисбат),Служба в дисциплинарном батальоне стала для респондента важным опытом ответственности и гордости. Получил признание и рекомендации.,"Это ответственность. Это огромная ответственность, понимание того, что фактически жизнь элных людей, пускай это и заключенные, да, они в твоих руках.","Гордость, серьёзность","Ответственность, долг, профессионализм","Служба в дисбате — уникальный опыт, формирующий чувство ответственности и гордости за преодолённые испытания.",узел,"Армия, дисциплинарный батальон",1.0,,
15,Юность,Татуировки как способ самовыражения,В подростковом возрасте сделал татуировки для самовыражения и подражания отцу. Сейчас жалеет об этом и копит на их удаление.,"Это история две татуировки. Это история желания выделиться в подростковом возрасте, привлечь на себя внимание.","Сожаление, самоирония","Самовыражение, память о близких, рефлексия","Татуировки в юности часто связаны с поиском идентичности и желанием выделиться, но с возрастом отношение к ним меняется.",эпизод,,1.0,,
1,"Взрослая жизнь, зрелость",Отношение к политике и государству,"Респондент осознаёт различия между СССР и современной Россией, имеет свои взгляды на политику, но не считает себя вправе судить действия властей. Не обсуждает политические взгляды даже с близкими, чтобы избежать конфликтов.","Понятие что хорошо, что плохо тяжело судить, когда ты обычный гражданин. Другой вопрос, когда ты человек, ответственный за таких граждан, как я. Не мне судить, что хорошо, что плохо.","Взвешенность, осторожность","Сдержанность, уважение к чужой позиции, избегание конфликтов","Респондент демонстрирует характерную для части российского общества политическую апатию и осторожность в публичном выражении мнения, что может быть связано с недоверием к институтам и опасением последствий.",декларация,"государство, семья",,,
2,Взрослая жизнь,Потребление информации и отношение к СМИ,"Респондент получает новости из разных источников: интернет, официальные СМИ, Telegram-каналы. Однако не увлекается обсуждением политики в кругу друзей и не стремится быть 'диванным экспертом'.","У меня четкая понятие позиции, я распространяю на свой круг, если вы хотите обсуждать политику, обсуждайте, я не крымник, если я сижу за столом.","Сдержанность, дистанция","Личная автономия, информационная избирательность","Респондент демонстрирует индивидуалистский подход к потреблению информации, избегает вовлечения в массовые дискуссии, что может говорить о недоверии к коллективным обсуждениям и стремлении к личной независимости.",декларация,,,,пассивный потребитель информации
3,Взрослая жизнь,Опыт использования цифровых технологий и отношение к ним,"Респондент использует цифровые технологии как хобби, знаком с конструкторами сайтов, базово освоил инструменты, но не считает себя специалистом. Использует нейросети для решения бытовых и рабочих задач.","Ну как, я балуюсь. По сравнению с действительно специалистами этого дела, я не могу выше оценить свои труды, как балуюсь. Базово я их знаю, базово я их освоил, но просто чтобы знать.","Скромность, интерес","Разносторонность, саморазвитие","Респондент относится к цифровым технологиям как к инструменту для расширения кругозора, но не стремится к профессионализации в этой сфере. Это отражает тенденцию к прагматичному использованию технологий среди зрелых пользователей.",эпизод,,,,осознанный пользователь
4,Взрослая жизнь,Отношение к социальным сетям и цифровой дисциплине,"Респондент сознательно отказался от большинства социальных сетей, считая их пустой тратой времени и источником потери энергии. Использует только мессенджеры и строго ограничивает время на информационные каналы.","Это бездумное проведение времени, высасывание собственной энергии... Поэтому, заметив такой вопрос, который встал у меня в голове, резко было принято решение отказаться от всего.","Осознанность, решимость","Дисциплина, рациональность, самоконтроль","Отказ от соцсетей и цифровая аскеза становятся формой сопротивления цифровому шуму и попыткой сохранить личное пространство и энергию. Это характерно для части зрелых пользователей, уставших от информационной перегрузки.",перелом,,,,минимальный пользователь соцсетей
5,Взрослая жизнь,Опыт онлайн-знакомств и отношение к виртуальному общению,"Респондент имел опыт онлайн-знакомств, но быстро отказался из-за недоверия и большого количества мошенников. Предпочитает живое общение, считает виртуальное общение неискренним и негативным.","Я вообще, в принципе, по интернету не общаться не люблю. С кем-то там, даже не только с девушкой, с панем, с дома. Ребята в компьютере все, знаете, все смелые. У всех язык подвешен. Никто ничего не боится.","Недоверие, скепсис","Искренность, безопасность, реальное общение","Недоверие к онлайн-знакомствам и виртуальному общению отражает опасения по поводу анонимности и мошенничества в цифровой среде, а также ценность личного контакта.",эпизод,,,,минимальный пользователь онлайн-знакомств
6,Детство и подростковый возраст,Опыт с цифровыми устройствами в детстве,"В детстве респондент был очень эмоциональным, часто ломал телефоны из-за проигрышей в играх. После наказания резко изменил поведение.","В детстве за три года я раздал 17 телефонов... когда я проигрывал, у меня телефон дал кулаком. Да, это был очень эмоциональный период в моей жизни.","Импульсивность, эмоциональность","Самоконтроль (приобретённый), опыт через ошибки",Эпизод иллюстрирует процесс социализации и формирования самоконтроля через негативный опыт и родительское воспитание.,перелом,семья,,,
7,"Взрослая жизнь, зрелость",Отношение к искусственному интеллекту и технологическому прогрессу,"Респондент позитивно относится к развитию искусственного интеллекта, видит в этом большие возможности, но осознаёт риски, связанные с потерей контроля над технологиями.","Мы действительно можем добиться большого прогресса. Но, как я и говорил, есть но. И вот это но, если мы к моменту, когда он не станет здоровым и настолько, что мы, Евгений, с вами вдвоем вместе взятые будем оказаться на его фоне не больше, чем букашка, мы научимся его контролировать, тогда появляется хороший вопрос, к чему мы пришли.",Осторожный оптимизм,"Прогресс, ответственность, контроль",Респондент выражает типичную для зрелых пользователей позицию: интерес к инновациям сочетается с опасениями по поводу их последствий и необходимостью этического контроля.,декларация,,,,
8,Взрослая жизнь,Изменения в жизни за последний год и отношение к переменам,"Респондент не считает произошедшие за последний год события значимыми, воспринимает смену работы и бытовые изменения как обыденность. Важным считает возможность отдохнуть, поехать куда-то.","Для меня это обыденное, потому что я поменял и работаю. Я не считаю это чем-то важным, а для меня это обыденное дело.","Спокойствие, отсутствие драматизма","Стабильность, простые радости",Отсутствие значимых событий и эмоциональная нейтральность могут свидетельствовать о зрелом принятии рутины и отсутствии завышенных ожиданий от жизни.,эпизод,,,,
9,Взрослая жизнь,"Рефлексия о поколениях, образовании и институте семьи","Респондент критикует молодое поколение за низкий уровень общей образованности и связывает это не с системой образования, а с проблемами семейного воспитания и размыванием моральных устоев.","Это какой-то нездоровый… Это лично семейный вопрос, понимаете? Это институт семьи. Да неважно, сколько мне лет, но если ты видишь, что ты папа, дата, мама, неважно, но вы видите, да, что я не провожу время никак иначе, помимо просмотра телевизора или там компьютера, игрушек и не знаю, что такое високосный год, наверное, тут должен появляться вопрос.","Огорчение, тревога","Семья, воспитание, моральные устои, общая образованность","Респондент воспроизводит дискурс о 'деградации поколений', перекладывая ответственность с системы образования на институт семьи. Это отражает распространённую в российском обществе озабоченность размыванием традиционных ценностей.",декларация,семья,,,
10,Взрослая жизнь,Эмоциональный фон и отношение к жизни,"Респондент отмечает, что эмоциональный фон не ровный, но именно в этом видит прелесть жизни. Старается сохранять радость и спокойствие даже в трудные моменты.","Фон не ровный, и этим он и прекрасен, что моменты бывают худшие, понижения момента и скачков, этим.","Оптимизм, принятие","Позитивное мышление, устойчивость","Стремление сохранять позитивный настрой и принимать эмоциональные колебания как часть жизни характерно для зрелых, психологически устойчивых людей.",декларация,,,,
11,Взрослая жизнь,Взгляд на будущее,"Респондент смотрит на своё будущее с оптимизмом, не испытывает тревоги или неопределённости.","Я бы сказал, смотрю на вас и думаю, что с оптимизмом, с огромным причем. На ваше.",Оптимизм,"Надежда, уверенность",Оптимистичный взгляд на будущее может быть связан с внутренней устойчивостью и отсутствием серьёзных жизненных потрясений.,декларация,,,,
1,"Молодость, ранняя взрослость (около 21 года)",Отношение к будущему и жизненные цели,"Респондент с оптимизмом смотрит в будущее, считает важным сохранять позитивный настрой и идти по жизни с поднятой головой. Его главная цель — не унывать и сохранять оптимизм.","Какие могут быть цели у меня? Сохранить тот же оптимизм, что есть у меня сейчас. Не унывать. Идти по жизни вверх поднятой головы. Это вся цель.","Позитив, уверенность","Оптимизм, стойкость, самоуважение","Для молодых людей характерно формирование позитивного взгляда на будущее и стремление к внутренней устойчивости. Цели респондента не материальны, а связаны с личностным ростом и эмоциональным состоянием.",декларация,,,,
2,"Молодость, ранняя взрослость",Мечты и альтруизм,"Респондент мечтает изменить чью-то жизнь к лучшему, сыграть важную роль для другого человека, не ограничиваясь близкими.",Я хочу поменять чью-то жизнь в лучшую сторону. Действительно сыграть какой-то важный ключевой роль.,"Воодушевление, альтруизм","Альтруизм, значимость, помощь другим","Мечты респондента выходят за рамки личного успеха и ориентированы на вклад в жизни других людей, что отражает ценности коллективизма и социальной ответственности.",декларация,,,,
3,"Молодость, ранняя взрослость",Личностная ответственность и контроль,"Респондент считает себя человеком, который рассчитывает только на себя, анализирует свои ошибки и берет ответственность за последствия своих поступков.","Только на себя. Не было ситуации, когда… если бы я вовремя за пальцем-то ухаживал, я бы не оказался в этой больнице.","Самокритика, ответственность","Самостоятельность, ответственность, саморефлексия","Важный элемент современной идентичности — ориентация на личную ответственность и самоконтроль, что характерно для индивидуалистических установок.",декларация,,,,
4,"Молодость, ранняя взрослость",Баланс между личными и чужими нуждами,"С возрастом респондент стал больше учитывать нужды близких и других людей, хотя раньше ориентировался на себя. Он признает свои ошибки и стремится помогать другим.","С течением времени я понимаю, что все-таки больше опираюсь на свои личные нужды, а не отходят на второй план. В общем, больше на передний план вырываются нужды близких тебе людей.","Рефлексия, стремление к развитию","Эмпатия, забота о других, честность","Переход от эгоцентризма к альтруизму — типичный для взросления процесс, связанный с расширением круга значимых других.",узел,,,,
5,Детство и юность,Формирование жизненных принципов,"Жизненные принципы респондента были заложены семьей и тренером. Он придерживается базовых моральных норм: не обижать слабых, не бить женщин, помогать в трудных ситуациях.","Есть то, что был тренер, наш отец. То, что был дед. Это базовые, ну, вы знаете, районские понятия. Нельзя трогать близких родных, нельзя бить женщин.","Уважение, благодарность","Семейные ценности, справедливость, защита слабых","Семья и окружение играют ключевую роль в формировании моральных ориентиров, особенно в подростковом возрасте.",эпизод,"семья, спортивная секция",,,
6,"Молодость, ранняя взрослость",Понимание хорошей жизни,"Респондент считает, что хорошая жизнь — это возможность поддерживать других, давать им силы, а не получать поддержку самому.","Что должно присутствовать в хорошей жизни, по моему мнению, поддержка. Только не вас, Евгений. Поддержка не меня. Не кто-то меня должен поддерживать. Я. Я должен кому-то давать сил.","Уверенность, щедрость","Поддержка, щедрость, активная позиция",Акцент на активной поддержке других отражает зрелую позицию и ориентацию на социальное взаимодействие.,декларация,,,,
7,"Молодость, ранняя взрослость",Счастье и семейные отношения,"Респондент ощущает счастье, когда помогает своей семье, даже в мелочах.","Может это банально, но когда я помогаю своей семье, это может быть не только в деньгах, это может быть банально.","Теплота, удовлетворение","Семья, забота, помощь",Семейные отношения остаются важнейшим источником счастья и смысла для респондента.,эпизод,,,,
8,"Молодость, ранняя взрослость",Поиск смысла жизни,"Респондент задумывается о смысле жизни, но приходит к выводу, что универсального ответа нет, и каждый человек находит свой смысл.","Что его просто нет. Задумываться над ним честно глупо, это как знаете задумываться над тем зачем есть земля.",Философская отстраненность,"Открытость, принятие неопределенности",Современная молодежь часто склонна к экзистенциальным поискам и принятию относительности жизненных смыслов.,декларация,,,,
9,"Молодость, ранняя взрослость","Оценка удач и неудач, принятие прошлого","Респондент считает своим главным успехом сам факт рождения, а неудачей — травму, но принимает ее как неизбежность.","Удачно, я родился, это уже удачно, само по себе. Я уже этому счастлив. ... Это к моей травме. Считаю это неудачно, как бы я мог поступить иначе.","Принятие, благодарность","Принятие, благодарность, смирение",Принятие прошлого и отсутствие фокуса на сожалениях — признак зрелой рефлексии и внутренней устойчивости.,узел,,,,
10,"Молодость, ранняя взрослость",Страх одиночества и требования к себе,"Респондент боится умереть в одиночестве, осознает свою требовательность к себе и другим, старается соответствовать своим стандартам.","Не хочется умереть в одиночестве. ... Понимаю, что человек я довольно требовательный. Но и сам стараюсь требования соблюдать.","Тревога, самокритика","Честность, требовательность, стремление к близости","Страх одиночества — распространённая экзистенциальная тревога, особенно у молодых людей, формирующих свою идентичность.",декларация,,,,
11,"Молодость, ранняя взрослость",Отношение к смерти,"Респондент часто задумывается о смерти, особенно из-за спортивного опыта. Считает смерть началом чего-то нового и не испытывает страха перед ней.","Смерть-это возможность. ... Она одна, поэтому смерть-это начало чего-то нового. Я надеюсь чего-то действительно удивительного.","Философское спокойствие, принятие","Принятие, открытость к новому, мужество","Опыт занятий спортом, особенно боевыми искусствами, формирует особое отношение к жизни и смерти, снижая страх и повышая принятие неизбежного.",декларация,спортивная секция,,,
012,"Молодость, ранняя взрослость",Рефлексия после интервью,"Респондент получил удовольствие от общения, проявил интерес к результатам исследования и к личности исследователя.","Как и в самом начале, прекрасно, мне удалось пообщаться с прекрасным человеком, это с вами, мне очень приятно.","Благодарность, интерес","Открытость, любознательность, уважение",Рефлексия после интервью показывает высокий уровень коммуникативных навыков и интерес к исследовательской деятельности.,эпизод,,,,
